2019/03/23 18:06:41 [error] 6980#0: *130 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //dbAdmin2/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//dbAdmin2/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:41 [error] 6980#0: *132 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //forum/phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//forum/phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:41 [error] 6980#0: *134 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //htdocs/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//htdocs/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:41 [error] 6980#0: *136 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //mydatadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//mydatadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:41 [error] 6980#0: *138 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //mysqladminconfig/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//mysqladminconfig/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:41 [error] 6980#0: *140 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //padmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//padmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:41 [error] 6980#0: *142 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //php/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//php/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:41 [error] 6980#0: *144 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //php/phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//php/phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:42 [error] 6980#0: *146 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpm/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpm/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:42 [error] 6980#0: *148 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpmy/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpmy/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:43 [error] 6980#0: *150 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpmya/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpmya/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:45 [error] 6980#0: *152 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpmyad/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpmyad/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:45 [error] 6980#0: *154 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpMyAdmi/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpMyAdmi/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:45 [error] 6980#0: *156 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpMyAdmin-2.5.5/index.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpMyAdmin-2.5.5/index.php", host: "47.93.11.157"
2019/03/23 18:06:45 [error] 6980#0: *158 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //admin/phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//admin/phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:45 [error] 6980#0: *160 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:45 [error] 6980#0: *162 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //pma2005/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//pma2005/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:07:20 [error] 6980#0: *164 connect() failed (111: Connection refused) while connecting to upstream, client: 62.80.172.238, server: , request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8000/", host: "47.93.11.157:80"
2019/03/23 18:07:20 [info] 6980#0: *164 client 62.80.172.238 closed keepalive connection
2019/03/23 18:19:14 [error] 6980#0: *166 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET /muieblackcat HTTP/1.1", upstream: "http://127.0.0.1:8000/muieblackcat", host: "47.93.11.157"
2019/03/23 18:19:14 [error] 6980#0: *168 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:14 [error] 6980#0: *170 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //admin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//admin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:16 [error] 6980#0: *172 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //admin/pma/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//admin/pma/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:16 [error] 6980#0: *174 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //admin/phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//admin/phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:16 [error] 6980#0: *176 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //db/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//db/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:16 [error] 6980#0: *178 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //dbadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//dbadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:16 [error] 6980#0: *180 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //dbdmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//dbdmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:17 [error] 6980#0: *182 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //myadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//myadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:17 [error] 6980#0: *184 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //mysql/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//mysql/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:17 [error] 6980#0: *186 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //mysqladmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//mysqladmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:17 [error] 6980#0: *188 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //typo3/phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//typo3/phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:17 [error] 6980#0: *190 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:17 [error] 6980#0: *192 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpMyAdmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpMyAdmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:17 [error] 6980#0: *194 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpmyadmin1/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpmyadmin1/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:19:17 [error] 6980#0: *196 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpmyadmin2/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpmyadmin2/scripts/setup.php", host: "47.93.11.157"
